L0	L1	L2	L3	L4	L5
W79.88	W79.8	W79	W75-W84	V01-Y98	*
W86.22	W86.2	W86	W85-W99	V01-Y98	*
Y04.98	Y04.9	Y04	X85-Y09	V01-Y98	*
Y45.8	Y45.8	Y45	Y40-Y59	V01-Y98	*
W55.73	W55.7	W55	W50-W64	V01-Y98	*
X68.01	X68.0	X68	X60-X84	V01-Y98	*
W44.91	W44.9	W44	W20-W49	V01-Y98	*
W26.99	W26.9	W26	W20-W49	V01-Y98	*
K27.7	K27.7	K27	K20-K31	K00-K93	*
X58.30	X58.3	X58	X58-X59	V01-Y98	*
Q31.2	Q31.2	Q31	Q30-Q34	Q00-Q99	*
Y05.53	Y05.5	Y05	X85-Y09	V01-Y98	*
O70.9	O70.9	O70	O60-O75	O00-O99	*
P03.3	P03.3	P03	P00-P04	P00-P96	*
V29.01	V29.0	V29	V20-V29	V01-Y98	*
Y10.19	Y10.1	Y10	Y10-Y34	V01-Y98	*
W76.30	W76.3	W76	W75-W84	V01-Y98	*
W86.7	W86.7	W86	W85-W99	V01-Y98	*
X48.74	X48.7	X48	X40-X49	V01-Y98	*
T05.9	T05.9	T05	T00-T07	S00-T98	*
Y09.30	Y09.3	Y09	X85-Y09	V01-Y98	*
P61.9	P61.9	P61	P50-P61	P00-P96	*
V49.39	V49.3	V49	V40-V49	V01-Y98	*
X78.98	X78.9	X78	X60-X84	V01-Y98	*
X34.54	X34.5	X34	X30-X39	V01-Y98	*
X34.44	X34.4	X34	X30-X39	V01-Y98	*
V49.03	V49.0	V49	V40-V49	V01-Y98	*
X96.51	X96.5	X96	X85-Y09	V01-Y98	*
X24.79	X24.7	X24	X20-X29	V01-Y98	*
X54	X54	X54	X50-X57	V01-Y98	*
K80.4	K80.4	K80	K80-K87	K00-K93	*
X42.44	X42.4	X42	X40-X49	V01-Y98	*
W17.1	W17.1	W17	W00-W19	V01-Y98	*
H47.5	H47.5	H47	H46-H48	H00-H59	*
P77	P77	P77	P75-P78	P00-P96	*
X70.20	X70.2	X70	X60-X84	V01-Y98	*
X14.80	X14.8	X14	X10-X19	V01-Y98	*
X02.11	X02.1	X02	X00-X09	V01-Y98	*
V42.23	V42.2	V42	V40-V49	V01-Y98	*
V77.7	V77.7	V77	V70-V79	V01-Y98	*
X23.54	X23.5	X23	X20-X29	V01-Y98	*
K26.9	K26.9	K26	K20-K31	K00-K93	*
W91.18	W91.1	W91	W85-W99	V01-Y98	*
X84.4	X84.4	X84	X60-X84	V01-Y98	*
W66.44	W66.4	W66	W65-W74	V01-Y98	*
W92.90	W92.9	W92	W85-W99	V01-Y98	*
W84.69	W84.6	W84	W75-W84	V01-Y98	*
V41.50	V41.5	V41	V40-V49	V01-Y98	*
Y14.34	Y14.3	Y14	Y10-Y34	V01-Y98	*
X51.59	X51.5	X51	X50-X57	V01-Y98	*
X00.73	X00.7	X00	X00-X09	V01-Y98	*
F42	F42	F42	F40-F49	F00-F99	*
X21.89	X21.8	X21	X20-X29	V01-Y98	*
D40	D40	D40	D37-D48	C00-D48	*
