L0	L1	L2	L3	L4	L5
V30.13	V30.1	V30	V30-V39	V01-Y98	*
X66.61	X66.6	X66	X60-X84	V01-Y98	*
S07.9	S07.9	S07	S00-S09	S00-T98	*
X31.09	X31.0	X31	X30-X39	V01-Y98	*
W24.33	W24.3	W24	W20-W49	V01-Y98	*
W58.08	W58.0	W58	W50-W64	V01-Y98	*
M85.5	M85.5	M85	M80-M85	M00-M99	*
F50.9	F50.9	F50	F50-F59	F00-F99	*
W84.62	W84.6	W84	W75-W84	V01-Y98	*
A41.2	A41.2	A41	A30-A49	A00-B99	*
X35.98	X35.9	X35	X30-X39	V01-Y98	*
W50.90	W50.9	W50	W50-W64	V01-Y98	*
E78.6	E78.6	E78	E70-E90	E00-E90	*
X60.22	X60.2	X60	X60-X84	V01-Y98	*
E13.5	E13.5	E13	E10-E14	E00-E90	*
X93.94	X93.9	X93	X85-Y09	V01-Y98	*
V50.6	V50.6	V50	V50-V59	V01-Y98	*
W87.22	W87.2	W87	W85-W99	V01-Y98	*
W18.98	W18.9	W18	W00-W19	V01-Y98	*
I66.8	I66.8	I66	I60-I69	I00-I99	*
W88.92	W88.9	W88	W85-W99	V01-Y98	*
S86.8	S86.8	S86	S80-S89	S00-T98	*
X91.59	X91.5	X91	X85-Y09	V01-Y98	*
X90.19	X90.1	X90	X85-Y09	V01-Y98	*
W44.24	W44.2	W44	W20-W49	V01-Y98	*
W49.51	W49.5	W49	W20-W49	V01-Y98	*
X96.61	X96.6	X96	X85-Y09	V01-Y98	*
V61.19	V61.1	V61	V60-V69	V01-Y98	*
X13.12	X13.1	X13	X10-X19	V01-Y98	*
X63.70	X63.7	X63	X60-X84	V01-Y98	*
X82.92	X82.9	X82	X60-X84	V01-Y98	*
X79.3	X79.3	X79	X60-X84	V01-Y98	*
B39.5	B39.5	B39	B35-B49	A00-B99	*
P91.4	P91.4	P91	P90-P96	P00-P96	*
V59.01	V59.0	V59	V50-V59	V01-Y98	*
F43	F43	F43	F40-F49	F00-F99	*
V35.61	V35.6	V35	V30-V39	V01-Y98	*
V36.10	V36.1	V36	V30-V39	V01-Y98	*
R04.9	R04.9	R04	R00-R09	R00-R99	*
X17.48	X17.4	X17	X10-X19	V01-Y98	*
I41.1	I41.1	I41	I30-I52	I00-I99	*
E26.1	E26.1	E26	E20-E35	E00-E90	*
Z30.8	Z30.8	Z30	Z30-Z39	Z00-Z99	*
V49.93	V49.9	V49	V40-V49	V01-Y98	*
X49.2	X49.2	X49	X40-X49	V01-Y98	*
X37.54	X37.5	X37	X30-X39	V01-Y98	*
N95.0	N95.0	N95	N80-N98	N00-N99	*
Y34.31	Y34.3	Y34	Y10-Y34	V01-Y98	*
I35.1	I35.1	I35	I30-I52	I00-I99	*
W26.80	W26.8	W26	W20-W49	V01-Y98	*
P02.4	P02.4	P02	P00-P04	P00-P96	*
S92.91	S92.9	S92	S90-S99	S00-T98	*
C16.3	C16.3	C16	C15-C26	C00-D48	*
W99.62	W99.6	W99	W85-W99	V01-Y98	*
W87.09	W87.0	W87	W85-W99	V01-Y98	*
W89.88	W89.8	W89	W85-W99	V01-Y98	*
F15.73	F15.7	F15	F10-F19	F00-F99	*
W30.43	W30.4	W30	W20-W49	V01-Y98	*
X50.28	X50.2	X50	X50-X57	V01-Y98	*
W74.84	W74.8	W74	W65-W74	V01-Y98	*
X16.08	X16.0	X16	X10-X19	V01-Y98	*
X47.31	X47.3	X47	X40-X49	V01-Y98	*
Y07.81	Y07.8	Y07	X85-Y09	V01-Y98	*
V84.29	V84.2	V84	V80-V89	V01-Y98	*
K11.8	K11.8	K11	K00-K14	K00-K93	*
X62.80	X62.8	X62	X60-X84	V01-Y98	*
W91.98	W91.9	W91	W85-W99	V01-Y98	*
X89.70	X89.7	X89	X85-Y09	V01-Y98	*
X34.21	X34.2	X34	X30-X39	V01-Y98	*
X29.0	X29.0	X29	X20-X29	V01-Y98	*
V39.01	V39.0	V39	V30-V39	V01-Y98	*
P52.5	P52.5	P52	P50-P61	P00-P96	*
X03.32	X03.3	X03	X00-X09	V01-Y98	*
S82.21	S82.2	S82	S80-S89	S00-T98	*
V45.1	V45.1	V45	V40-V49	V01-Y98	*
X96.58	X96.5	X96	X85-Y09	V01-Y98	*
F16.56	F16.5	F16	F10-F19	F00-F99	*
X84.0	X84.0	X84	X60-X84	V01-Y98	*
X75.04	X75.0	X75	X60-X84	V01-Y98	*
W05.10	W05.1	W05	W00-W19	V01-Y98	*
X96.03	X96.0	X96	X85-Y09	V01-Y98	*
K63	K63	K63	K55-K63	K00-K93	*
X39.44	X39.4	X39	X30-X39	V01-Y98	*
W74.68	W74.6	W74	W65-W74	V01-Y98	*
V31.08	V31.0	V31	V30-V39	V01-Y98	*
Y14.4	Y14.4	Y14	Y10-Y34	V01-Y98	*
V97.22	V97.2	V97	V95-V97	V01-Y98	*
W80.70	W80.7	W80	W75-W84	V01-Y98	*
W40.82	W40.8	W40	W20-W49	V01-Y98	*
F15.5	F15.5	F15	F10-F19	F00-F99	*
Y33.21	Y33.2	Y33	Y10-Y34	V01-Y98	*
V43.13	V43.1	V43	V40-V49	V01-Y98	*
X35.41	X35.4	X35	X30-X39	V01-Y98	*
V50.24	V50.2	V50	V50-V59	V01-Y98	*
X29.59	X29.5	X29	X20-X29	V01-Y98	*
Y22.11	Y22.1	Y22	Y10-Y34	V01-Y98	*
X61.31	X61.3	X61	X60-X84	V01-Y98	*
I80.8	I80.8	I80	I80-I89	I00-I99	*
X93.71	X93.7	X93	X85-Y09	V01-Y98	*
N74	N74	N74	N70-N77	N00-N99	*
W89.98	W89.9	W89	W85-W99	V01-Y98	*
V28.4	V28.4	V28	V20-V29	V01-Y98	*
W20.72	W20.7	W20	W20-W49	V01-Y98	*
Y29.90	Y29.9	Y29	Y10-Y34	V01-Y98	*
W69.11	W69.1	W69	W65-W74	V01-Y98	*
L63.8	L63.8	L63	L60-L75	L00-L99	*
M31.2	M31.2	M31	M30-M36	M00-M99	*
X52.31	X52.3	X52	X50-X57	V01-Y98	*
S39.9	S39.9	S39	S30-S39	S00-T98	*
V34.04	V34.0	V34	V30-V39	V01-Y98	*
W77.9	W77.9	W77	W75-W84	V01-Y98	*
W21.33	W21.3	W21	W20-W49	V01-Y98	*
X49.4	X49.4	X49	X40-X49	V01-Y98	*
W04.60	W04.6	W04	W00-W19	V01-Y98	*
A17.8	A17.8	A17	A15-A19	A00-B99	*
M92.3	M92.3	M92	M91-M94	M00-M99	*
Q13.5	Q13.5	Q13	Q10-Q18	Q00-Q99	*
W19.5	W19.5	W19	W00-W19	V01-Y98	*
W02.92	W02.9	W02	W00-W19	V01-Y98	*
W58.64	W58.6	W58	W50-W64	V01-Y98	*
V77.28	V77.2	V77	V70-V79	V01-Y98	*
X34.79	X34.7	X34	X30-X39	V01-Y98	*
B42.1	B42.1	B42	B35-B49	A00-B99	*
W90.39	W90.3	W90	W85-W99	V01-Y98	*
X95.3	X95.3	X95	X85-Y09	V01-Y98	*
Q63.8	Q63.8	Q63	Q60-Q64	Q00-Q99	*
J47	J47	J47	J40-J47	J00-J99	*
M15	M15	M15	M15-M19	M00-M99	*
H59.9	H59.9	H59	H55-H59	H00-H59	*
W90.42	W90.4	W90	W85-W99	V01-Y98	*
X35.58	X35.5	X35	X30-X39	V01-Y98	*
Y17.59	Y17.5	Y17	Y10-Y34	V01-Y98	*
Y09.68	Y09.6	Y09	X85-Y09	V01-Y98	*
X37.33	X37.3	X37	X30-X39	V01-Y98	*
X01.79	X01.7	X01	X00-X09	V01-Y98	*
V91.34	V91.3	V91	V90-V94	V01-Y98	*
C24.1	C24.1	C24	C15-C26	C00-D48	*
W15.94	W15.9	W15	W00-W19	V01-Y98	*
W14.38	W14.3	W14	W00-W19	V01-Y98	*
Y29.24	Y29.2	Y29	Y10-Y34	V01-Y98	*
V83.32	V83.3	V83	V80-V89	V01-Y98	*
Y02.22	Y02.2	Y02	X85-Y09	V01-Y98	*
V37.23	V37.2	V37	V30-V39	V01-Y98	*
V61.9	V61.9	V61	V60-V69	V01-Y98	*
N60.9	N60.9	N60	N60-N64	N00-N99	*
X11.1	X11.1	X11	X10-X19	V01-Y98	*
A81.9	A81.9	A81	A80-A89	A00-B99	*
X09.30	X09.3	X09	X00-X09	V01-Y98	*
Z57.2	Z57.2	Z57	Z55-Z65	Z00-Z99	*
X95.04	X95.0	X95	X85-Y09	V01-Y98	*
X97.24	X97.2	X97	X85-Y09	V01-Y98	*
V39.90	V39.9	V39	V30-V39	V01-Y98	*
V83.04	V83.0	V83	V80-V89	V01-Y98	*
W14.01	W14.0	W14	W00-W19	V01-Y98	*
X37.50	X37.5	X37	X30-X39	V01-Y98	*
X18.52	X18.5	X18	X10-X19	V01-Y98	*
Y15.32	Y15.3	Y15	Y10-Y34	V01-Y98	*
V21.5	V21.5	V21	V20-V29	V01-Y98	*
V61.31	V61.3	V61	V60-V69	V01-Y98	*
E28.1	E28.1	E28	E20-E35	E00-E90	*
T11.6	T11.6	T11	T08-T14	S00-T98	*
V05.91	V05.9	V05	V01-V09	V01-Y98	*
Y12.32	Y12.3	Y12	Y10-Y34	V01-Y98	*
V46.53	V46.5	V46	V40-V49	V01-Y98	*
Z65.9	Z65.9	Z65	Z55-Z65	Z00-Z99	*
A90	A90	A90	A90-A99	A00-B99	*
V76.70	V76.7	V76	V70-V79	V01-Y98	*
Y13.23	Y13.2	Y13	Y10-Y34	V01-Y98	*
L56.0	L56.0	L56	L55-L59	L00-L99	*
W42.58	W42.5	W42	W20-W49	V01-Y98	*
W17.44	W17.4	W17	W00-W19	V01-Y98	*
W67.2	W67.2	W67	W65-W74	V01-Y98	*
W78.82	W78.8	W78	W75-W84	V01-Y98	*
W94.38	W94.3	W94	W85-W99	V01-Y98	*
X50.62	X50.6	X50	X50-X57	V01-Y98	*
V45.22	V45.2	V45	V40-V49	V01-Y98	*
S80-S89	S80-S89	S80-S89	S80-S89	S00-T98	*
V79.18	V79.1	V79	V70-V79	V01-Y98	*
Z60.1	Z60.1	Z60	Z55-Z65	Z00-Z99	*
T85.4	T85.4	T85	T80-T88	S00-T98	*
V40.41	V40.4	V40	V40-V49	V01-Y98	*
X39.59	X39.5	X39	X30-X39	V01-Y98	*
E32.8	E32.8	E32	E20-E35	E00-E90	*
X12.88	X12.8	X12	X10-X19	V01-Y98	*
W88.02	W88.0	W88	W85-W99	V01-Y98	*
W36.34	W36.3	W36	W20-W49	V01-Y98	*
X88.41	X88.4	X88	X85-Y09	V01-Y98	*
Y09.82	Y09.8	Y09	X85-Y09	V01-Y98	*
W13.53	W13.5	W13	W00-W19	V01-Y98	*
X68.40	X68.4	X68	X60-X84	V01-Y98	*
A88.0	A88.0	A88	A80-A89	A00-B99	*
V64.22	V64.2	V64	V60-V69	V01-Y98	*
Z36.9	Z36.9	Z36	Z30-Z39	Z00-Z99	*
X24.73	X24.7	X24	X20-X29	V01-Y98	*
Z27.1	Z27.1	Z27	Z20-Z29	Z00-Z99	*
X57.94	X57.9	X57	X50-X57	V01-Y98	*
X50.18	X50.1	X50	X50-X57	V01-Y98	*
G44.1	G44.1	G44	G40-G47	G00-G99	*
P39.3	P39.3	P39	P35-P39	P00-P96	*
Y22.74	Y22.7	Y22	Y10-Y34	V01-Y98	*
T57.8	T57.8	T57	T51-T65	S00-T98	*
W52.43	W52.4	W52	W50-W64	V01-Y98	*
Y24.78	Y24.7	Y24	Y10-Y34	V01-Y98	*
W66.39	W66.3	W66	W65-W74	V01-Y98	*
W66.10	W66.1	W66	W65-W74	V01-Y98	*
V67.09	V67.0	V67	V60-V69	V01-Y98	*
M09	M09	M09	M05-M14	M00-M99	*
O15	O15	O15	O10-O16	O00-O99	*
V82.6	V82.6	V82	V80-V89	V01-Y98	*
V90.33	V90.3	V90	V90-V94	V01-Y98	*
A28.1	A28.1	A28	A20-A28	A00-B99	*
T02.31	T02.3	T02	T00-T07	S00-T98	*
W75.00	W75.0	W75	W75-W84	V01-Y98	*
X06.40	X06.4	X06	X00-X09	V01-Y98	*
W49.08	W49.0	W49	W20-W49	V01-Y98	*
V04.99	V04.9	V04	V01-V09	V01-Y98	*
O81.5	O81.5	O81	O80-O84	O00-O99	*
V20.13	V20.1	V20	V20-V29	V01-Y98	*
F02.00	F02.0	F02	F00-F09	F00-F99	*
W91.61	W91.6	W91	W85-W99	V01-Y98	*
Y23.68	Y23.6	Y23	Y10-Y34	V01-Y98	*
X63.01	X63.0	X63	X60-X84	V01-Y98	*
W94.43	W94.4	W94	W85-W99	V01-Y98	*
V77.42	V77.4	V77	V70-V79	V01-Y98	*
X26.18	X26.1	X26	X20-X29	V01-Y98	*
W21.81	W21.8	W21	W20-W49	V01-Y98	*
Y18.88	Y18.8	Y18	Y10-Y34	V01-Y98	*
V17.03	V17.0	V17	V10-V19	V01-Y98	*
V96.93	V96.9	V96	V95-V97	V01-Y98	*
L72.0	L72.0	L72	L60-L75	L00-L99	*
C08.1	C08.1	C08	C00-C14	C00-D48	*
O29.2	O29.2	O29	O20-O29	O00-O99	*
W02.59	W02.5	W02	W00-W19	V01-Y98	*
R70	R70	R70	R70-R79	R00-R99	*
X12.18	X12.1	X12	X10-X19	V01-Y98	*
Y19.94	Y19.9	Y19	Y10-Y34	V01-Y98	*
V12.1	V12.1	V12	V10-V19	V01-Y98	*
H81.1	H81.1	H81	H80-H83	H60-H95	*
C68.1	C68.1	C68	C64-C68	C00-D48	*
X40.5	X40.5	X40	X40-X49	V01-Y98	*
V41.61	V41.6	V41	V40-V49	V01-Y98	*
Y15.71	Y15.7	Y15	Y10-Y34	V01-Y98	*
V62.23	V62.2	V62	V60-V69	V01-Y98	*
V96.18	V96.1	V96	V95-V97	V01-Y98	*
F20.80	F20.8	F20	F20-F29	F00-F99	*
T90.1	T90.1	T90	T90-T98	S00-T98	*
W86.62	W86.6	W86	W85-W99	V01-Y98	*
V70.30	V70.3	V70	V70-V79	V01-Y98	*
W80.04	W80.0	W80	W75-W84	V01-Y98	*
V41.10	V41.1	V41	V40-V49	V01-Y98	*
Y00.90	Y00.9	Y00	X85-Y09	V01-Y98	*
V89.22	V89.2	V89	V80-V89	V01-Y98	*
B38.9	B38.9	B38	B35-B49	A00-B99	*
S36.2	S36.2	S36	S30-S39	S00-T98	*
V84.33	V84.3	V84	V80-V89	V01-Y98	*
X35.60	X35.6	X35	X30-X39	V01-Y98	*
V74.78	V74.7	V74	V70-V79	V01-Y98	*
X72.3	X72.3	X72	X60-X84	V01-Y98	*
X70.44	X70.4	X70	X60-X84	V01-Y98	*
K26	K26	K26	K20-K31	K00-K93	*
N32.4	N32.4	N32	N30-N39	N00-N99	*
W16.5	W16.5	W16	W00-W19	V01-Y98	*
Y21.09	Y21.0	Y21	Y10-Y34	V01-Y98	*
W36.02	W36.0	W36	W20-W49	V01-Y98	*
V60.2	V60.2	V60	V60-V69	V01-Y98	*
W83.62	W83.6	W83	W75-W84	V01-Y98	*
V57.04	V57.0	V57	V50-V59	V01-Y98	*
V81.50	V81.5	V81	V80-V89	V01-Y98	*
X89.91	X89.9	X89	X85-Y09	V01-Y98	*
W23.44	W23.4	W23	W20-W49	V01-Y98	*
W84.92	W84.9	W84	W75-W84	V01-Y98	*
X42.12	X42.1	X42	X40-X49	V01-Y98	*
N21.8	N21.8	N21	N20-N23	N00-N99	*
Y25.42	Y25.4	Y25	Y10-Y34	V01-Y98	*
F14.03	F14.0	F14	F10-F19	F00-F99	*
K62.9	K62.9	K62	K55-K63	K00-K93	*
T50.2	T50.2	T50	T36-T50	S00-T98	*
X89.50	X89.5	X89	X85-Y09	V01-Y98	*
Y26.61	Y26.6	Y26	Y10-Y34	V01-Y98	*
X24.98	X24.9	X24	X20-X29	V01-Y98	*
Y28.72	Y28.7	Y28	Y10-Y34	V01-Y98	*
Y17.09	Y17.0	Y17	Y10-Y34	V01-Y98	*
X19.88	X19.8	X19	X10-X19	V01-Y98	*
X69.81	X69.8	X69	X60-X84	V01-Y98	*
J94.8	J94.8	J94	J90-J94	J00-J99	*
W36.78	W36.7	W36	W20-W49	V01-Y98	*
W06.59	W06.5	W06	W00-W19	V01-Y98	*
Z27.4	Z27.4	Z27	Z20-Z29	Z00-Z99	*
X31.20	X31.2	X31	X30-X39	V01-Y98	*
V15	V15	V15	V10-V19	V01-Y98	*
V70.09	V70.0	V70	V70-V79	V01-Y98	*
X23.52	X23.5	X23	X20-X29	V01-Y98	*
X12.21	X12.2	X12	X10-X19	V01-Y98	*
V33.10	V33.1	V33	V30-V39	V01-Y98	*
V76.24	V76.2	V76	V70-V79	V01-Y98	*
T01.0	T01.0	T01	T00-T07	S00-T98	*
Y27.99	Y27.9	Y27	Y10-Y34	V01-Y98	*
X85.5	X85.5	X85	X85-Y09	V01-Y98	*
V05.03	V05.0	V05	V01-V09	V01-Y98	*
W55.40	W55.4	W55	W50-W64	V01-Y98	*
Y19.3	Y19.3	Y19	Y10-Y34	V01-Y98	*
F20.45	F20.4	F20	F20-F29	F00-F99	*
J95.4	J95.4	J95	J95-J99	J00-J99	*
B70.0	B70.0	B70	B65-B83	A00-B99	*
V93.00	V93.0	V93	V90-V94	V01-Y98	*
W56.81	W56.8	W56	W50-W64	V01-Y98	*
V13.43	V13.4	V13	V10-V19	V01-Y98	*
Y32.20	Y32.2	Y32	Y10-Y34	V01-Y98	*
V58.5	V58.5	V58	V50-V59	V01-Y98	*
Y20.42	Y20.4	Y20	Y10-Y34	V01-Y98	*
J12.9	J12.9	J12	J09-J18	J00-J99	*
W77.89	W77.8	W77	W75-W84	V01-Y98	*
Y05	Y05	Y05	X85-Y09	V01-Y98	*
A46	A46	A46	A30-A49	A00-B99	*
O68.8	O68.8	O68	O60-O75	O00-O99	*
L13.9	L13.9	L13	L10-L14	L00-L99	*
Q93.1	Q93.1	Q93	Q90-Q99	Q00-Q99	*
V36.73	V36.7	V36	V30-V39	V01-Y98	*
W26.72	W26.7	W26	W20-W49	V01-Y98	*
V14.44	V14.4	V14	V10-V19	V01-Y98	*
Y43.9	Y43.9	Y43	Y40-Y59	V01-Y98	*
X91.6	X91.6	X91	X85-Y09	V01-Y98	*
X52.40	X52.4	X52	X50-X57	V01-Y98	*
X52.19	X52.1	X52	X50-X57	V01-Y98	*
X97.38	X97.3	X97	X85-Y09	V01-Y98	*
V96	V96	V96	V95-V97	V01-Y98	*
V74.98	V74.9	V74	V70-V79	V01-Y98	*
Y13.18	Y13.1	Y13	Y10-Y34	V01-Y98	*
W21.5	W21.5	W21	W20-W49	V01-Y98	*
Y10.9	Y10.9	Y10	Y10-Y34	V01-Y98	*
X79.43	X79.4	X79	X60-X84	V01-Y98	*
X69.53	X69.5	X69	X60-X84	V01-Y98	*
X76.24	X76.2	X76	X60-X84	V01-Y98	*
V31.12	V31.1	V31	V30-V39	V01-Y98	*
V76.21	V76.2	V76	V70-V79	V01-Y98	*
V29.9	V29.9	V29	V20-V29	V01-Y98	*
W15.79	W15.7	W15	W00-W19	V01-Y98	*
W57.04	W57.0	W57	W50-W64	V01-Y98	*
N76.0	N76.0	N76	N70-N77	N00-N99	*
X59.89	X59.8	X59	X58-X59	V01-Y98	*
V68.73	V68.7	V68	V60-V69	V01-Y98	*
X01.88	X01.8	X01	X00-X09	V01-Y98	*
W40.89	W40.8	W40	W20-W49	V01-Y98	*
W00.48	W00.4	W00	W00-W19	V01-Y98	*
N91.4	N91.4	N91	N80-N98	N00-N99	*
W93.10	W93.1	W93	W85-W99	V01-Y98	*
X28.10	X28.1	X28	X20-X29	V01-Y98	*
M05.9	M05.9	M05	M05-M14	M00-M99	*
X34.32	X34.3	X34	X30-X39	V01-Y98	*
A02.1	A02.1	A02	A00-A09	A00-B99	*
P61.3	P61.3	P61	P50-P61	P00-P96	*
B26.0	B26.0	B26	B25-B34	A00-B99	*
W66.81	W66.8	W66	W65-W74	V01-Y98	*
Z57.8	Z57.8	Z57	Z55-Z65	Z00-Z99	*
W28.0	W28.0	W28	W20-W49	V01-Y98	*
X01.40	X01.4	X01	X00-X09	V01-Y98	*
T34.6	T34.6	T34	T33-T35	S00-T98	*
Z20.0	Z20.0	Z20	Z20-Z29	Z00-Z99	*
X44.08	X44.0	X44	X40-X49	V01-Y98	*
V68.7	V68.7	V68	V60-V69	V01-Y98	*
S20.7	S20.7	S20	S20-S29	S00-T98	*
Q65.2	Q65.2	Q65	Q65-Q79	Q00-Q99	*
X43.88	X43.8	X43	X40-X49	V01-Y98	*
V77.11	V77.1	V77	V70-V79	V01-Y98	*
Y76.0	Y76.0	Y76	Y70-Y82	V01-Y98	*
K56.6	K56.6	K56	K55-K63	K00-K93	*
V93.90	V93.9	V93	V90-V94	V01-Y98	*
V41.72	V41.7	V41	V40-V49	V01-Y98	*
Y15.7	Y15.7	Y15	Y10-Y34	V01-Y98	*
X25.68	X25.6	X25	X20-X29	V01-Y98	*
M05	M05	M05	M05-M14	M00-M99	*
W06.04	W06.0	W06	W00-W19	V01-Y98	*
V13.00	V13.0	V13	V10-V19	V01-Y98	*
X58.94	X58.9	X58	X58-X59	V01-Y98	*
Y15.84	Y15.8	Y15	Y10-Y34	V01-Y98	*
X48.80	X48.8	X48	X40-X49	V01-Y98	*
E12.2	E12.2	E12	E10-E14	E00-E90	*
Y10.63	Y10.6	Y10	Y10-Y34	V01-Y98	*
W06.18	W06.1	W06	W00-W19	V01-Y98	*
W99.19	W99.1	W99	W85-W99	V01-Y98	*
V57.09	V57.0	V57	V50-V59	V01-Y98	*
V32	V32	V32	V30-V39	V01-Y98	*
V80.33	V80.3	V80	V80-V89	V01-Y98	*
O92.1	O92.1	O92	O85-O92	O00-O99	*
V16.03	V16.0	V16	V10-V19	V01-Y98	*
V51.54	V51.5	V51	V50-V59	V01-Y98	*
I72.8	I72.8	I72	I70-I79	I00-I99	*
Y17.41	Y17.4	Y17	Y10-Y34	V01-Y98	*
W66.34	W66.3	W66	W65-W74	V01-Y98	*
X71.14	X71.1	X71	X60-X84	V01-Y98	*
M09.8	M09.8	M09	M05-M14	M00-M99	*
V46	V46	V46	V40-V49	V01-Y98	*
Y12.4	Y12.4	Y12	Y10-Y34	V01-Y98	*
Y20.60	Y20.6	Y20	Y10-Y34	V01-Y98	*
A23.3	A23.3	A23	A20-A28	A00-B99	*
X40.23	X40.2	X40	X40-X49	V01-Y98	*
W69.64	W69.6	W69	W65-W74	V01-Y98	*
Z54.8	Z54.8	Z54	Z40-Z54	Z00-Z99	*
O75.7	O75.7	O75	O60-O75	O00-O99	*
V90.32	V90.3	V90	V90-V94	V01-Y98	*
X79.13	X79.1	X79	X60-X84	V01-Y98	*
Y09.78	Y09.7	Y09	X85-Y09	V01-Y98	*
V10-V19	V10-V19	V10-V19	V10-V19	V01-Y98	*
X13.32	X13.3	X13	X10-X19	V01-Y98	*
V32.43	V32.4	V32	V30-V39	V01-Y98	*
X59.43	X59.4	X59	X58-X59	V01-Y98	*
Y12.92	Y12.9	Y12	Y10-Y34	V01-Y98	*
W24.59	W24.5	W24	W20-W49	V01-Y98	*
W49.09	W49.0	W49	W20-W49	V01-Y98	*
D17.6	D17.6	D17	D10-D36	C00-D48	*
G43.9	G43.9	G43	G40-G47	G00-G99	*
V18.22	V18.2	V18	V10-V19	V01-Y98	*
X14.28	X14.2	X14	X10-X19	V01-Y98	*
X30.99	X30.9	X30	X30-X39	V01-Y98	*
Y60.8	Y60.8	Y60	Y60-Y69	V01-Y98	*
W04.24	W04.2	W04	W00-W19	V01-Y98	*
W33.52	W33.5	W33	W20-W49	V01-Y98	*
X36.69	X36.6	X36	X30-X39	V01-Y98	*
X68.22	X68.2	X68	X60-X84	V01-Y98	*
X87.71	X87.7	X87	X85-Y09	V01-Y98	*
X19.93	X19.9	X19	X10-X19	V01-Y98	*
X60.51	X60.5	X60	X60-X84	V01-Y98	*
T46.0	T46.0	T46	T36-T50	S00-T98	*
V25.49	V25.4	V25	V20-V29	V01-Y98	*
F04	F04	F04	F00-F09	F00-F99	*
M07.2	M07.2	M07	M05-M14	M00-M99	*
T59.7	T59.7	T59	T51-T65	S00-T98	*
R25-R29	R25-R29	R25-R29	R25-R29	R00-R99	*
X16.74	X16.7	X16	X10-X19	V01-Y98	*
J95.8	J95.8	J95	J95-J99	J00-J99	*
V71.14	V71.1	V71	V70-V79	V01-Y98	*
V05.18	V05.1	V05	V01-V09	V01-Y98	*
V49.41	V49.4	V49	V40-V49	V01-Y98	*
X31.93	X31.9	X31	X30-X39	V01-Y98	*
X95.62	X95.6	X95	X85-Y09	V01-Y98	*
X15.23	X15.2	X15	X10-X19	V01-Y98	*
V52	V52	V52	V50-V59	V01-Y98	*
F01.81	F01.8	F01	F00-F09	F00-F99	*
Y09.18	Y09.1	Y09	X85-Y09	V01-Y98	*
Y27.04	Y27.0	Y27	Y10-Y34	V01-Y98	*
X46.23	X46.2	X46	X40-X49	V01-Y98	*
Z90.6	Z90.6	Z90	Z80-Z99	Z00-Z99	*
J09-J18	J09-J18	J09-J18	J09-J18	J00-J99	*
W49.39	W49.3	W49	W20-W49	V01-Y98	*
Q67.2	Q67.2	Q67	Q65-Q79	Q00-Q99	*
N07.1	N07.1	N07	N00-N08	N00-N99	*
W52.04	W52.0	W52	W50-W64	V01-Y98	*
W83.12	W83.1	W83	W75-W84	V01-Y98	*
B96.6	B96.6	B96	B95-B97	A00-B99	*
Y60.2	Y60.2	Y60	Y60-Y69	V01-Y98	*
W79.28	W79.2	W79	W75-W84	V01-Y98	*
X76.70	X76.7	X76	X60-X84	V01-Y98	*
L30.8	L30.8	L30	L20-L30	L00-L99	*
V49.02	V49.0	V49	V40-V49	V01-Y98	*
X91.40	X91.4	X91	X85-Y09	V01-Y98	*
Y82.1	Y82.1	Y82	Y70-Y82	V01-Y98	*
Y31.00	Y31.0	Y31	Y10-Y34	V01-Y98	*
X83.92	X83.9	X83	X60-X84	V01-Y98	*
F45.38	F45.3	F45	F40-F49	F00-F99	*
W34.43	W34.4	W34	W20-W49	V01-Y98	*
W83.53	W83.5	W83	W75-W84	V01-Y98	*
W66.73	W66.7	W66	W65-W74	V01-Y98	*
P05.0	P05.0	P05	P05-P08	P00-P96	*
E23.7	E23.7	E23	E20-E35	E00-E90	*
W53.04	W53.0	W53	W50-W64	V01-Y98	*
I61	I61	I61	I60-I69	I00-I99	*
V26.29	V26.2	V26	V20-V29	V01-Y98	*
W04.92	W04.9	W04	W00-W19	V01-Y98	*
W00.31	W00.3	W00	W00-W19	V01-Y98	*
F00.2	F00.2	F00	F00-F09	F00-F99	*
X72.53	X72.5	X72	X60-X84	V01-Y98	*
F02.33	F02.3	F02	F00-F09	F00-F99	*
T05.1	T05.1	T05	T00-T07	S00-T98	*
W30.50	W30.5	W30	W20-W49	V01-Y98	*
V54.33	V54.3	V54	V50-V59	V01-Y98	*
Z90.8	Z90.8	Z90	Z80-Z99	Z00-Z99	*
D41.0	D41.0	D41	D37-D48	C00-D48	*
R85.9	R85.9	R85	R83-R89	R00-R99	*
Y22.34	Y22.3	Y22	Y10-Y34	V01-Y98	*
T02.30	T02.3	T02	T00-T07	S00-T98	*
W01.50	W01.5	W01	W00-W19	V01-Y98	*
F20.91	F20.9	F20	F20-F29	F00-F99	*
X66.50	X66.5	X66	X60-X84	V01-Y98	*
X71.53	X71.5	X71	X60-X84	V01-Y98	*
W06.70	W06.7	W06	W00-W19	V01-Y98	*
K90.4	K90.4	K90	K90-K93	K00-K93	*
P04.3	P04.3	P04	P00-P04	P00-P96	*
W52.03	W52.0	W52	W50-W64	V01-Y98	*
X30.34	X30.3	X30	X30-X39	V01-Y98	*
W87.23	W87.2	W87	W85-W99	V01-Y98	*
X63.1	X63.1	X63	X60-X84	V01-Y98	*
X67.6	X67.6	X67	X60-X84	V01-Y98	*
